# Average Runtimes (10000 Files)

File sizes = 1byte, 10000 files ---------------

test1

98872011 function calls (98869184 primitive calls) in 72.844 seconds

    Ordered by: cumulative time

       ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10177    0.015    0.000    0.597    0.000 genericpath.py:48(getsize)
    3539892/3539044    0.474    0.000    0.475    0.000 {built-in method builtins.len}
    9968    0.128    0.000    0.128    0.000 {method 'read' of '_io.BufferedReader' objects}
    714406    0.124    0.000    0.124    0.000 {method 'getrandbits' of '_random.Random' objects}
    10177    0.019    0.000    0.111    0.000 AES.py:61(new)
    10177    0.036    0.000    0.094    0.000 ntpath.py:75(join)
    10177    0.018    0.000    0.093    0.000 AES.py:55(__init__)
    692036    0.086    0.000    0.086    0.000 {method 'bit_length' of 'int' objects}
    10177    0.031    0.000    0.075    0.000 blockalgo.py:136(__init__)
    20355    0.042    0.000    0.054    0.000 ntpath.py:122(splitdrive)
    283    0.001    0.000    0.039    0.000 sre_compile.py:759(compile)
    10177    0.031    0.000    0.031    0.000 {built-in method nt.urandom}
    9967    0.029    0.000    0.029    0.000 {built-in method _struct.pack}
    10177    0.028    0.000    0.028    0.000 {built-in method Crypto.Cipher._AES.new}
    283    0.001    0.000    0.023    0.000 sre_parse.py:919(parse)
    2    0.004    0.002    0.021    0.011 os.py:278(walk)
    566/283    0.001    0.000    0.021    0.000 sre_parse.py:417(_parse_sub)
    566/283    0.009    0.000    0.020    0.000 sre_parse.py:475(_parse)
    10005    0.016    0.000    0.016    0.000 {built-in method builtins.next}
    10177    0.011    0.000    0.016    0.000 blockalgo.py:124(_getParameter)
    19935    0.016    0.000    0.016    0.000 {method 'write' of '_io.BufferedWriter' objects}

test4

98872072 function calls (98869245 primitive calls) in 64.661 seconds

    Ordered by: cumulative time

    ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10178    1.046    0.000   42.997    0.004 crypy_py.py:30(find_files)
    2861144    2.748    0.000   41.818    0.000 fnmatch.py:19(fnmatch)
    2861144    2.889    0.000   29.304    0.000 fnmatch.py:64(fnmatchcase)
    2801123    2.526    0.000   24.749    0.000 fnmatch.py:38(_compile_pattern)
    2801123    7.582    0.000   18.426    0.000 fnmatch.py:74(translate)
    10177    0.142    0.000   14.933    0.001 crypy_py.py:356(generate_file)
    12565038    5.967    0.000   10.535    0.000 re.py:252(escape)
    5722288    5.979    0.000    9.765    0.000 ntpath.py:44(normcase)
    10177    2.156    0.000    7.317    0.001 crypy_py.py:335(encrypt_file)
    10177    0.022    0.000    6.731    0.001 crypy_py.py:17(delete_file)
    10177    6.709    0.001    6.709    0.001 {built-in method nt.remove}
    20355    6.524    0.000    6.524    0.000 {built-in method nt.stat}
    10177    0.021    0.000    5.885    0.001 crypy_py.py:327(make_directory)
    10178    0.030    0.000    5.854    0.001 genericpath.py:16(exists)
    19935    4.056    0.000    4.056    0.000 {built-in method io.open}
    23927735    3.430    0.000    3.430    0.000 {built-in method builtins.isinstance}
    2801123    0.992    0.000    3.384    0.000 re.py:232(compile)
    12565038    3.167    0.000    3.167    0.000 {method 'translate' of 'str' objects}
    2801123    1.708    0.000    2.392    0.000 re.py:271(_compile)
    2861144    1.666    0.000    1.666    0.000 {method 'match' of 're.Pattern' objects}
    692036    0.406    0.000    1.177    0.000 random.py:256(choice)
    5742643    1.162    0.000    1.162    0.000 {method 'replace' of 'str' objects}
    5752823    0.882    0.000    0.882    0.000 {built-in method nt.fspath}
    10177    0.022    0.000    0.828    0.000 crypy_py.py:353(text_generator)
    20354    0.078    0.000    0.815    0.000 {method 'join' of 'str' objects}
    5722288    0.792    0.000    0.792    0.000 {method 'lower' of 'str' objects}
    10177    0.172    0.000    0.751    0.000 crypy_py.py:358(<listcomp>)
    376549    0.140    0.000    0.737    0.000 crypy_py.py:354(<genexpr>)
    10177    0.018    0.000    0.717    0.000 genericpath.py:48(getsize)
    692036    0.432    0.000    0.629    0.000 random.py:224(_randbelow)
    3539892/3539044    0.462    0.000    0.462    0.000 {built-in method builtins.len}
    10177    0.023    0.000    0.149    0.000 AES.py:61(new)
    9968    0.136    0.000    0.136    0.000 {method 'read' of '_io.BufferedReader' objects}
    10177    0.022    0.000    0.126    0.000 AES.py:55(__init__)
    714254    0.116    0.000    0.116    0.000 {method 'getrandbits' of '_random.Random' objects}
    10177    0.038    0.000    0.104    0.000 blockalgo.py:136(__init__)
    10177    0.046    0.000    0.102    0.000 ntpath.py:75(join)
    692036    0.081    0.000    0.081    0.000 {method 'bit_length' of 'int' objects}
    20355    0.043    0.000    0.054    0.000 ntpath.py:122(splitdrive)
    10177    0.044    0.000    0.044    0.000 {built-in method Crypto.Cipher._AES.new}
    10177    0.043    0.000    0.043    0.000 {built-in method nt.urandom}
    9967    0.039    0.000    0.039    0.000 {built-in method _struct.pack}
    2    0.006    0.003    0.030    0.015 os.py:278(walk)
    283    0.001    0.000    0.028    0.000 sre_compile.py:759(compile)
    10177    0.016    0.000    0.021    0.000 blockalgo.py:124(_getParameter)
    10005    0.020    0.000    0.020    0.000 {built-in method builtins.next}
    19935    0.017    0.000    0.017    0.000 {method 'write' of '_io.BufferedWriter' objects}

test5

98872000 function calls (98869173 primitive calls) in 85.346 seconds

    Ordered by: cumulative time

    ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10178    1.366    0.000   59.286    0.006 crypy_py.py:30(find_files)
    2861144    3.949    0.000   57.746    0.000 fnmatch.py:19(fnmatch)
    2861144    3.818    0.000   40.932    0.000 fnmatch.py:64(fnmatchcase)
    2801123    3.844    0.000   34.957    0.000 fnmatch.py:38(_compile_pattern)
    2801123    9.913    0.000   26.250    0.000 fnmatch.py:74(translate)
    10177    0.146    0.000   18.704    0.002 crypy_py.py:356(generate_file)
    12565038    8.796    0.000   15.894    0.000 re.py:252(escape)
    5722288    7.531    0.000   12.865    0.000 ntpath.py:44(normcase)
    20355    9.464    0.000    9.464    0.000 {built-in method nt.stat}
    10177    0.026    0.000    8.657    0.001 crypy_py.py:327(make_directory)
    10178    0.019    0.000    8.626    0.001 genericpath.py:16(exists)
    10177    2.301    0.000    7.940    0.001 crypy_py.py:335(encrypt_file)
    10177    0.027    0.000    7.356    0.001 crypy_py.py:17(delete_file)
    10177    7.329    0.001    7.329    0.001 {built-in method nt.remove}
    23927735    4.893    0.000    4.893    0.000 {built-in method builtins.isinstance}
    12565038    4.667    0.000    4.667    0.000 {method 'translate' of 'str' objects}
    2801123    1.468    0.000    4.361    0.000 re.py:232(compile)
    19935    4.351    0.000    4.351    0.000 {built-in method io.open}
    2801123    2.061    0.000    2.893    0.000 re.py:271(_compile)
    2861144    2.156    0.000    2.156    0.000 {method 'match' of 're.Pattern' objects}
    5742643    1.894    0.000    1.894    0.000 {method 'replace' of 'str' objects}
    692036    0.582    0.000    1.488    0.000 random.py:256(choice)
    5722288    1.178    0.000    1.178    0.000 {method 'lower' of 'str' objects}
    5752823    1.108    0.000    1.108    0.000 {built-in method nt.fspath}
    10177    0.024    0.000    1.099    0.000 crypy_py.py:353(text_generator)
    20354    0.107    0.000    1.085    0.000 {method 'join' of 'str' objects}
    376549    0.153    0.000    0.978    0.000 crypy_py.py:354(<genexpr>)
    10177    0.020    0.000    0.876    0.000 genericpath.py:48(getsize)
    10177    0.190    0.000    0.853    0.000 crypy_py.py:358(<listcomp>)
    692036    0.492    0.000    0.798    0.000 random.py:224(_randbelow)
    3539892/3539044    0.565    0.000    0.566    0.000 {built-in method builtins.len}
    714182    0.167    0.000    0.167    0.000 {method 'getrandbits' of '_random.Random' objects}
    9968    0.166    0.000    0.166    0.000 {method 'read' of '_io.BufferedReader' objects}
    10177    0.024    0.000    0.152    0.000 AES.py:61(new)
    692036    0.140    0.000    0.140    0.000 {method 'bit_length' of 'int' objects}
    10177    0.054    0.000    0.134    0.000 ntpath.py:75(join)
    10177    0.025    0.000    0.128    0.000 AES.py:55(__init__)
    10177    0.039    0.000    0.103    0.000 blockalgo.py:136(__init__)
    20355    0.061    0.000    0.078    0.000 ntpath.py:122(splitdrive)
    10177    0.043    0.000    0.043    0.000 {built-in method Crypto.Cipher._AES.new}
    10177    0.042    0.000    0.042    0.000 {built-in method nt.urandom}
    283    0.002    0.000    0.039    0.000 sre_compile.py:759(compile)
    2    0.011    0.006    0.039    0.019 os.py:278(walk)
    9967    0.023    0.000    0.023    0.000 {built-in method _struct.pack}
    19935    0.023    0.000    0.023    0.000 {method 'write' of '_io.BufferedWriter' objects}


File sizes = 10bytes, 10000 files ---------------

test1

98952107 function calls (98949280 primitive calls) in 97.526 seconds

    Ordered by: cumulative time

    ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10178    1.173    0.000   54.882    0.005 crypy_py.py:30(find_files)
    2861144    4.055    0.000   53.572    0.000 fnmatch.py:19(fnmatch)
    2861144    3.546    0.000   37.427    0.000 fnmatch.py:64(fnmatchcase)
    10177    0.159    0.000   34.243    0.003 crypy_py.py:356(generate_file)
    2801123    3.430    0.000   31.790    0.000 fnmatch.py:38(_compile_pattern)
    10177    2.431    0.000   23.878    0.002 crypy_py.py:335(encrypt_file)
    2801123    9.142    0.000   23.279    0.000 fnmatch.py:74(translate)
    19935   19.542    0.001   19.542    0.001 {built-in method io.open}
    12565038    8.169    0.000   13.724    0.000 re.py:252(escape)
    5722288    7.543    0.000   12.090    0.000 ntpath.py:44(normcase)
    20355    9.273    0.000    9.273    0.000 {built-in method nt.stat}
    10177    0.034    0.000    8.400    0.001 crypy_py.py:17(delete_file)
    10177    8.366    0.001    8.366    0.001 {built-in method nt.remove}
    10177    0.025    0.000    8.256    0.001 crypy_py.py:327(make_directory)
    10178    0.019    0.000    8.230    0.001 genericpath.py:16(exists)
    2801123    1.522    0.000    4.636    0.000 re.py:232(compile)
    23927735    4.110    0.000    4.110    0.000 {built-in method builtins.isinstance}
    12565038    3.697    0.000    3.697    0.000 {method 'translate' of 'str' objects}
    2801123    2.276    0.000    3.114    0.000 re.py:271(_compile)
    2861144    2.090    0.000    2.090    0.000 {method 'match' of 're.Pattern' objects}
    692036    0.474    0.000    1.491    0.000 random.py:256(choice)
    5742643    1.306    0.000    1.306    0.000 {method 'replace' of 'str' objects}
    5752823    1.297    0.000    1.297    0.000 {built-in method nt.fspath}
    10177    0.032    0.000    1.129    0.000 crypy_py.py:353(text_generator)
    20354    0.101    0.000    1.111    0.000 {method 'join' of 'str' objects}
    10177    0.032    0.000    1.094    0.000 genericpath.py:48(getsize)
    376549    0.148    0.000    1.010    0.000 crypy_py.py:354(<genexpr>)
    5722288    0.965    0.000    0.965    0.000 {method 'lower' of 'str' objects}
    692036    0.659    0.000    0.926    0.000 random.py:224(_randbelow)
    10177    0.180    0.000    0.808    0.000 crypy_py.py:358(<listcomp>)
    3569790/3568942    0.521    0.000    0.522    0.000 {built-in method builtins.len}
    19934    0.455    0.000    0.455    0.000 {method 'read' of '_io.BufferedReader' objects}
    10177    0.024    0.000    0.179    0.000 AES.py:61(new)
    10177    0.030    0.000    0.155    0.000 AES.py:55(__init__)
    714561    0.155    0.000    0.155    0.000 {method 'getrandbits' of '_random.Random' objects}
    10177    0.052    0.000    0.125    0.000 blockalgo.py:136(__init__)
    10177    0.053    0.000    0.115    0.000 ntpath.py:75(join)
    692036    0.112    0.000    0.112    0.000 {method 'bit_length' of 'int' objects}
    20355    0.046    0.000    0.059    0.000 ntpath.py:122(splitdrive)
    9967    0.028    0.000    0.053    0.000 blockalgo.py:187(encrypt)
    10177    0.045    0.000    0.045    0.000 {built-in method nt.urandom}
    10177    0.045    0.000    0.045    0.000 {built-in method Crypto.Cipher._AES.new}
    10177    0.022    0.000    0.029    0.000 blockalgo.py:124(_getParameter)
    29901    0.028    0.000    0.028    0.000 {method 'write' of '_io.BufferedWriter' objects}
    9967    0.027    0.000    0.027    0.000 {built-in method _struct.pack}
    9967    0.025    0.000    0.025    0.000 {method 'encrypt' of '_AES' objects}

test2

98951868 function calls (98949041 primitive calls) in 84.425 seconds

    Ordered by: cumulative time

    ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10178    0.982    0.000   44.586    0.004 crypy_py.py:30(find_files)
    2861144    3.195    0.000   43.437    0.000 fnmatch.py:19(fnmatch)
    2861144    3.295    0.000   31.067    0.000 fnmatch.py:64(fnmatchcase)
    10177    0.155    0.000   31.003    0.003 crypy_py.py:356(generate_file)
    2801123    2.581    0.000   26.027    0.000 fnmatch.py:38(_compile_pattern)
    10177    2.404    0.000   22.293    0.002 crypy_py.py:335(encrypt_file)
    2801123    8.484    0.000   19.375    0.000 fnmatch.py:74(translate)
    19935   17.676    0.001   17.676    0.001 {built-in method io.open}
    12565038    5.838    0.000   10.550    0.000 re.py:252(escape)
    5722288    5.165    0.000    9.175    0.000 ntpath.py:44(normcase)
    10177    0.024    0.000    8.836    0.001 crypy_py.py:17(delete_file)
    10177    8.811    0.001    8.811    0.001 {built-in method nt.remove}
    20355    8.157    0.000    8.157    0.000 {built-in method nt.stat}
    10177    0.024    0.000    6.989    0.001 crypy_py.py:327(make_directory)
    10178    0.016    0.000    6.965    0.001 genericpath.py:16(exists)
    2801123    1.001    0.000    3.658    0.000 re.py:232(compile)
    23927735    3.373    0.000    3.373    0.000 {built-in method builtins.isinstance}
    12565038    3.313    0.000    3.313    0.000 {method 'translate' of 'str' objects}
    2801123    1.831    0.000    2.657    0.000 re.py:271(_compile)
    2861144    1.745    0.000    1.745    0.000 {method 'match' of 're.Pattern' objects}
    5742643    1.372    0.000    1.372    0.000 {method 'replace' of 'str' objects}
    10177    0.019    0.000    1.227    0.000 genericpath.py:48(getsize)
    692036    0.413    0.000    1.160    0.000 random.py:256(choice)
    5722288    0.974    0.000    0.974    0.000 {method 'lower' of 'str' objects}
    5752823    0.902    0.000    0.902    0.000 {built-in method nt.fspath}
    10177    0.027    0.000    0.810    0.000 crypy_py.py:353(text_generator)
    20354    0.086    0.000    0.792    0.000 {method 'join' of 'str' objects}
    10177    0.165    0.000    0.746    0.000 crypy_py.py:358(<listcomp>)
    376549    0.127    0.000    0.707    0.000 crypy_py.py:354(<genexpr>)
    692036    0.401    0.000    0.684    0.000 random.py:224(_randbelow)
    19934    0.495    0.000    0.495    0.000 {method 'read' of '_io.BufferedReader' objects}
    3569790/3568942    0.416    0.000    0.416    0.000 {built-in method builtins.len}
    714322    0.204    0.000    0.204    0.000 {method 'getrandbits' of '_random.Random' objects}
    9967    0.027    0.000    0.202    0.000 blockalgo.py:187(encrypt)
    9967    0.175    0.000    0.175    0.000 {method 'encrypt' of '_AES' objects}
    10177    0.025    0.000    0.171    0.000 AES.py:61(new)
    10177    0.026    0.000    0.146    0.000 AES.py:55(__init__)
    10177    0.076    0.000    0.133    0.000 ntpath.py:75(join)
    10177    0.049    0.000    0.121    0.000 blockalgo.py:136(__init__)
    692036    0.079    0.000    0.079    0.000 {method 'bit_length' of 'int' objects}
    20355    0.047    0.000    0.056    0.000 ntpath.py:122(splitdrive)
    10177    0.049    0.000    0.049    0.000 {built-in method Crypto.Cipher._AES.new}
    10177    0.045    0.000    0.045    0.000 {built-in method nt.urandom}
    283    0.001    0.000    0.034    0.000 sre_compile.py:759(compile)
    2    0.007    0.003    0.034    0.017 os.py:278(walk)
    29901    0.029    0.000    0.029    0.000 {method 'write' of '_io.BufferedWriter' objects}

test3

98951652 function calls (98948825 primitive calls) in 87.091 seconds

    Ordered by: cumulative time

    ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10178    1.228    0.000   47.361    0.005 crypy_py.py:30(find_files)
    2861144    3.306    0.000   45.996    0.000 fnmatch.py:19(fnmatch)
    2861144    3.050    0.000   33.281    0.000 fnmatch.py:64(fnmatchcase)
    10177    0.159    0.000   30.741    0.003 crypy_py.py:356(generate_file)
    2801123    3.374    0.000   28.549    0.000 fnmatch.py:38(_compile_pattern)
    10177    2.292    0.000   22.721    0.002 crypy_py.py:335(encrypt_file)
    2801123    8.700    0.000   21.044    0.000 fnmatch.py:74(translate)
    19935   18.236    0.001   18.236    0.001 {built-in method io.open}
    12565038    6.924    0.000   11.915    0.000 re.py:252(escape)
    5722288    5.561    0.000    9.409    0.000 ntpath.py:44(normcase)
    10177    0.027    0.000    8.988    0.001 crypy_py.py:17(delete_file)
    10177    8.962    0.001    8.962    0.001 {built-in method nt.remove}
    20355    7.526    0.000    7.526    0.000 {built-in method nt.stat}
    10177    0.026    0.000    6.278    0.001 crypy_py.py:327(make_directory)
    10178    0.019    0.000    6.252    0.001 genericpath.py:16(exists)
    2801123    1.036    0.000    3.733    0.000 re.py:232(compile)
    23927735    3.508    0.000    3.508    0.000 {built-in method builtins.isinstance}
    12565038    3.432    0.000    3.432    0.000 {method 'translate' of 'str' objects}
    2801123    1.923    0.000    2.698    0.000 re.py:271(_compile)
    2861144    1.682    0.000    1.682    0.000 {method 'match' of 're.Pattern' objects}
    10177    0.019    0.000    1.313    0.000 genericpath.py:48(getsize)
    5742643    1.191    0.000    1.191    0.000 {method 'replace' of 'str' objects}
    692036    0.411    0.000    1.136    0.000 random.py:256(choice)
    5752823    0.934    0.000    0.934    0.000 {built-in method nt.fspath}
    5722288    0.864    0.000    0.864    0.000 {method 'lower' of 'str' objects}
    10177    0.025    0.000    0.820    0.000 crypy_py.py:353(text_generator)
    20354    0.090    0.000    0.807    0.000 {method 'join' of 'str' objects}
    10177    0.159    0.000    0.751    0.000 crypy_py.py:358(<listcomp>)
    376549    0.173    0.000    0.717    0.000 crypy_py.py:354(<genexpr>)
    692036    0.424    0.000    0.646    0.000 random.py:224(_randbelow)
    3569790/3568942    0.530    0.000    0.530    0.000 {built-in method builtins.len}
    19934    0.527    0.000    0.527    0.000 {method 'read' of '_io.BufferedReader' objects}
    10177    0.034    0.000    0.173    0.000 AES.py:61(new)
    10177    0.029    0.000    0.139    0.000 AES.py:55(__init__)
    714106    0.120    0.000    0.120    0.000 {method 'getrandbits' of '_random.Random' objects}
    10177    0.050    0.000    0.114    0.000 ntpath.py:75(join)
    10177    0.046    0.000    0.110    0.000 blockalgo.py:136(__init__)
    692036    0.101    0.000    0.101    0.000 {method 'bit_length' of 'int' objects}
    283    0.002    0.000    0.096    0.000 sre_compile.py:759(compile)
    20355    0.048    0.000    0.061    0.000 ntpath.py:122(splitdrive)
    283    0.003    0.000    0.060    0.000 sre_parse.py:919(parse)
    9967    0.029    0.000    0.058    0.000 blockalgo.py:187(encrypt)
